name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,147179732,,,0,,,,-95.375029,35.7378087,,
,1,147196803,,,0,,,,-95.4025165,35.7716405,,
,2,147216627,,,0,,,,-95.6421834,35.7418857,,
,3,147216639,,,0,,,,-95.641624,35.741236,,
,4,147226780,,,0,,,,-95.401563,35.7695209,,
,5,147226792,,,0,,,,-95.4024095,35.7688972,,
,6,147230903,,,0,,,,-95.4532596,35.754698,,
,7,147230909,,,0,,,,-95.4536478,35.7547325,,
,8,147230913,,,0,,,,-95.4539163,35.754864,,
,9,147230919,,,0,,,,-95.4548106,35.7549424,,
,10,147232776,,,0,,,,-95.6736564,35.8061104,,
,11,147255053,,,0,,,,-95.4016811,35.7696327,,
,12,147255059,,,0,,,,-95.4024148,35.7702973,,
,13,147260781,,,0,,,,-95.6749572,35.8130475,,
,14,147260801,,,0,,,,-95.6750461,35.8211287,,
,15,147265973,,,0,,,,-95.6778841,35.8241362,,
,16,147265982,,,0,,,,-95.6774833,35.8243314,,
,17,147270880,,,0,,,,-95.4516333,35.7550221,,
,18,147274309,traffic_signals,,1,,,,-95.369408,35.747868,,
,19,147274328,traffic_signals,,1,,,,-95.377239,35.750753,,
,20,147274364,traffic_signals,,1,,,,-95.402442,35.7550473,,4
,21,147274366,traffic_signals,,1,,,,-95.4026455,35.7550489,,4
,22,147277269,,,0,,,,-95.6597331,35.6096834,,
,23,147283012,traffic_signals,,1,,,,-95.4024416,35.7475572,,
,24,147283014,traffic_signals,,1,,,,-95.4025965,35.7475185,,
,25,147284012,,,0,,,,-95.364284,35.756959,,
,26,147285504,traffic_signals,,1,,,,-95.358302,35.769738,,1
,27,147285562,traffic_signals,,1,,,,-95.4024006,35.7695029,,0
,28,147285565,traffic_signals,,1,,,,-95.4026031,35.7695009,,20
,29,147285593,traffic_signals,,1,,,,-95.358305,35.769897,,1
,30,147285658,traffic_signals,,1,,,,-95.4024081,35.7696175,,0
,31,147286118,,,0,,,,-95.3635183,35.7580514,,
,32,147286120,,,0,,,,-95.3637028,35.7581123,,
,33,147286555,traffic_signals,,1,,,,-95.4025038,35.7840295,,
,34,147286562,,,0,,,,-95.4025234,35.7878369,,
,35,147292568,traffic_signals,,1,,,,-95.402571,35.740484,,
,36,147292655,traffic_signals,,1,,,,-95.402436,35.740484,,
,37,147295494,,,0,,,,-95.656042,35.652826,,
,38,147299374,,,0,,,,-95.3739994,35.739594,,
,39,147299381,,,0,,,,-95.3710449,35.7449951,,
,40,147300127,traffic_signals,,1,,,,-95.367834,35.750665,,
,41,147300179,traffic_signals,,1,,,,-95.358154,35.769738,,17
,42,147300182,traffic_signals,,1,,,,-95.358159,35.769899,,17
,43,147307766,,,0,,,,-95.6421808,35.7412384,,
,44,147307888,,,0,,,,-95.6421801,35.7395755,,
,45,147307889,,,0,,,,-95.642514,35.739564,,
,46,147309795,,,0,,,,-95.6560661,35.644355,,
,47,147309800,,,0,,,,-95.6560551,35.6501509,,
,48,147311607,,,0,,,,-95.6601727,35.6096841,,
,49,147318748,,,0,,,,-95.4482,35.7549608,,
,50,147318765,,,0,,,,-95.4545618,35.7544451,,
,51,147318909,,,0,,,,-95.6378285,35.7402689,,
,52,147319256,,,0,,,,-95.6564065,35.6395626,,
,53,147319631,,,0,,,,-95.651359,35.6578326,,
,54,147320745,,,0,,,,-95.6975395,35.8426443,,
,55,147323170,traffic_signals,,1,,,,-95.4025969,35.75604,,
,56,147323177,traffic_signals,,1,,,,-95.402466,35.756044,,
,57,147323201,,,0,,,,-95.4025255,35.7662149,,
,58,147390989,,,0,,,,-95.8760371,35.6092848,,
,59,147427086,stop,,0,,,,-95.8602147,35.6076325,,
,60,147431011,,,0,,,,-95.7130901,35.6096958,,
,61,147434440,,,0,,,,-95.8510329,35.6097439,,
,62,147440537,,,0,,,,-95.8653369,35.6076611,,
,63,147440541,,,0,,,,-95.8673584,35.6076755,,
,64,147440550,,,0,,,,-95.8712754,35.6081497,,
,65,147440605,,,0,,,,-95.9285602,35.6100053,,
,66,147440641,,,0,,,,-95.8471419,35.6096924,,
,67,147440644,,,0,,,,-95.8415015,35.6089298,,
,68,148063550,,,0,,,,-95.7654599,36.1627014,,
,69,148063552,,,0,,,,-95.7616355,36.163343,,
,70,148070524,,,0,,,,-95.7616402,36.1654803,,
,71,148075591,traffic_signals,,1,,,,-95.7480295,36.1810524,,
,72,148080580,,,0,,,,-95.7488283,36.1814829,,
,73,148304389,,,0,,,,-95.8866622,36.1090344,,
,74,148304391,motorway_junction,,0,,,,-95.8826731,36.1065405,,
,75,148304622,motorway_junction,,0,,,,-95.8564947,36.0265838,,
,76,148304638,motorway_junction,,0,,,,-96.0178487,36.1084799,,
,77,148304649,,,0,,,,-96.0231657,36.1047666,,
,78,148304650,,,0,,,,-96.023077,36.1044621,,
,79,148304717,,,0,,,,-96.0176257,36.1083779,,
,80,148304910,traffic_signals,,1,,,,-96.0069651,36.1279543,,31
,81,148304918,motorway_junction,,0,,,,-96.0085296,36.1266152,,
,82,148304924,traffic_signals,,1,,,,-96.006969,36.1280499,,31
,83,148304975,,,0,,,,-95.9507112,36.1607817,,
,84,148304979,traffic_signals,,1,,,,-95.8899797,36.1188518,,46
,85,148305049,,,0,,,,-95.8541946,36.1436652,,
,86,148305110,,,0,,,,-95.9796775,36.1457338,,
,87,148305135,,,0,,,,-95.9781614,36.1426435,,
,88,148305158,,,0,,,,-95.9505261,36.1598058,,
,89,148305173,traffic_signals,,1,,,,-95.9402689,36.1590697,,3
,90,148305217,motorway_junction,,0,,,,-95.7660256,36.1624858,,
,91,148305222,traffic_signals,,1,,,,-95.7616574,36.1619801,,
,92,148305296,motorway_junction,,0,,,,-95.9075033,36.1145564,,
,93,148305298,,,0,,,,-95.904639,36.1150927,,
,94,148305320,motorway_junction,,0,,,,-95.8019595,36.0727651,,
,95,148305322,,,0,,,,-95.7973345,36.0705547,,
,96,148305324,,,0,,,,-95.7942674,36.069957,,
,97,148305863,motorway_junction,,0,,,,-95.9838276,36.0898034,,
