name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,60647528,,,0,,,,-72.7689747,41.7161407,,
,1,60647625,,,0,,,,-72.77654,41.7264788,,
,2,64724824,,,0,,,,-72.582395,42.033138,,
,3,64752760,,,0,,,,-72.5839788,42.0247741,,
,4,65415727,traffic_signals,,1,,,,-72.636109,42.043039,,
,5,65564968,,,0,,,,-71.890911,42.043524,,
,6,65571485,,,0,,,,-71.887983,42.0244426,,
,7,66095272,,,0,,,,-72.4600785,42.0343189,,
,8,68823762,motorway_junction,,0,,,,-73.5428151,41.0472853,,
,9,68823771,,,0,,,,-73.5318941,41.0513905,,
,10,68823776,,,0,,,,-73.5251431,41.0544085,,
,11,68823783,motorway_junction,,0,,,,-73.514964,41.0565935,,
,12,68905286,traffic_signals,,1,,,,-73.5325247,41.0533967,,29
,13,69002205,traffic_signals,,1,,,,-73.5309976,41.0551742,,18
,14,69003605,,,0,,,,-73.5292147,41.0552912,,
,15,69003614,,,0,,,,-73.514446,41.05791,,
,16,69120972,,,0,,,,-72.7900126,41.2945098,,
,17,69121008,motorway_junction,,0,,,,-72.8437682,41.2845056,,
,18,69121153,,,0,,,,-73.0362504,41.2329425,,
,19,69121193,motorway_junction,,0,,,,-73.0910021,41.2099657,,
,20,69121197,,,0,,,,-73.0950596,41.2078597,,
,21,69121307,,,0,,,,-73.2390367,41.1637765,,
,22,69121343,motorway_junction,,0,,,,-73.2829074,41.1417392,,
,23,69121439,motorway_junction,,0,,,,-73.4553769,41.0891304,,
,24,69140783,,,0,,,,-72.3795185,41.3053187,,
,25,69140785,,,0,,,,-72.3821652,41.3043646,,
,26,69140857,,,0,,,,-72.5345968,41.2877602,,
,27,69140941,motorway_junction,,0,,,,-72.6993154,41.296438,,
,28,69156334,motorway_junction,,0,,,,-72.3634353,41.3132303,,
,29,69721343,traffic_signals,,1,,,,-73.5459405,41.0458184,,
,30,69722261,motorway_junction,,0,,,,-73.5499203,41.0451053,,
,31,69727917,traffic_signals,,1,,,,-73.5356936,41.0495488,,
,32,69727923,,,0,,,,-73.5249268,41.0557146,,
,33,69727933,,,0,,,,-73.5301281,41.0519055,,
,34,69733694,,,0,,,,-73.5431583,41.047313,,
,35,69735783,,,0,,,,-73.531038,41.0524248,,
,36,69735791,,,0,,,,-73.5349507,41.0504553,,
,37,69735796,traffic_signals,,1,,,,-73.5395456,41.0486893,,
,38,69739533,motorway_junction,,0,,,,-73.5202613,41.0554693,,
,39,69745272,traffic_signals,,1,,,,-73.5412157,41.0481218,,
,40,69745787,,,0,,,,-73.5424017,41.0477711,,
,41,69776864,traffic_signals,,1,,,,-73.5080221,41.0607485,,
,42,69806161,,,0,,,,-73.5629346,41.1044613,,
,43,69813583,motorway_junction,,0,,,,-73.54733,41.1117086,,
,44,69818666,traffic_signals,,1,,,,-73.5666215,41.1038693,,
,45,69819339,,,0,,,,-73.5655767,41.103304,,
,46,69820022,motorway_junction,,0,,,,-73.5622496,41.1050008,,
,47,69821264,motorway_junction,,0,,,,-73.5516384,41.1098222,,
,48,69822137,,,0,,,,-73.5474685,41.1106507,,
,49,69822485,traffic_signals,,1,,,,-73.5468375,41.1106641,,
,50,69824247,,,0,,,,-73.5461997,41.1112459,,
,51,69825330,,,0,,,,-73.5462926,41.1125455,,
,52,69827350,traffic_signals,,1,,,,-73.546262,41.112651,,
,53,69828572,,,0,,,,-73.551946,41.1098766,,
,54,72370801,,,0,,,,-72.0718519,42.0276689,,
,55,72531096,,,0,,,,-72.780894,42.047401,,
,56,72542271,,,0,,,,-72.7948703,42.0001402,,
,57,74693717,,,0,,,,-73.0559494,42.0399349,,
,58,74712889,,,0,,,,-73.0572,42.043883,,
,59,75253285,,,0,,,,-73.3256771,42.0479093,,
,60,83893577,,,0,,,,-73.1894234,41.2025967,,
,61,83893578,,,0,,,,-73.1887506,41.2031488,,
,62,83894419,,,0,,,,-73.2443024,41.1563542,,
,63,83895330,,,0,,,,-73.118195,41.1994994,,
,64,83895990,,,0,,,,-73.4258831,41.1435429,,
,65,83895996,,,0,,,,-73.427595,41.1423817,,
,66,83896061,motorway_junction,,0,,,,-73.4258464,41.1426979,,
,67,83896453,,,0,,,,-73.4567481,41.0897586,,
,68,83897791,,,0,,,,-73.2455438,41.1556206,,
,69,83897792,motorway_junction,,0,,,,-73.2454031,41.1540895,,
,70,83897985,traffic_signals,,1,,,,-73.1928541,41.2073631,,0
,71,83899327,,,0,,,,-73.4257802,41.1411378,,
,72,83899414,,,0,,,,-73.4256959,41.1418962,,
,73,83899786,motorway_junction,,0,,,,-73.4576557,41.0874308,,
,74,83899794,,,0,,,,-73.4539454,41.0911298,,
,75,83899796,traffic_signals,,1,,,,-73.4540092,41.0916448,,
,76,83900455,traffic_signals,,1,,,,-73.4196985,41.1097945,,
,77,83900646,traffic_signals,,1,,,,-73.1920683,41.2008127,,
,78,83900648,,,0,,,,-73.1923694,41.2013448,,
,79,83901535,motorway_junction,,0,,,,-73.4807542,41.0713796,,
,80,83901536,traffic_signals,,1,,,,-73.4757098,41.0715121,,
,81,83901645,,,0,,,,-73.2871721,41.1399911,,
,82,83902624,,,0,,,,-73.483099,41.1201199,,
,83,83902692,,,0,,,,-73.4189546,41.1182275,,
,84,83902730,,,0,,,,-73.5654075,41.1021664,,
,85,83902750,traffic_signals,,1,,,,-73.4740557,41.0734289,,
,86,83903280,,,0,,,,-73.5787889,41.0415921,,
,87,83903293,,,0,,,,-73.427277,41.1263248,,
,88,83903296,,,0,,,,-73.4266179,41.1255453,,
,89,83903333,,,0,,,,-73.4239864,41.1264488,,
,90,83903817,motorway_junction,,0,,,,-73.293685,41.1343194,,
,91,83903820,,,0,,,,-73.2907478,41.1361677,,
,92,83903837,,,0,,,,-73.1897857,41.2047559,,
,93,83903848,motorway_junction,,0,,,,-73.1905793,41.2072525,,
,94,83906187,,,0,,,,-73.1904171,41.2057964,,
,95,83907511,,,0,,,,-73.4206883,41.1168782,,
,96,83908555,,,0,,,,-73.2442711,41.1488973,,
,97,83910661,,,0,,,,-73.4361482,41.1006052,,
,98,83911478,,,0,,,,-73.4776019,41.0722621,,
,99,83911481,,,0,,,,-73.4318562,41.1030657,,
,100,83911519,,,0,,,,-73.2915077,41.1367564,,
,101,83911523,,,0,,,,-73.2942243,41.1341034,,
,102,83913408,,,0,,,,-73.4587326,41.1325673,,
,103,83913412,traffic_signals,,1,,,,-73.4585913,41.1340702,,
,104,83913660,,,0,,,,-73.1199179,41.1989336,,
,105,83915739,,,0,,,,-73.2314876,41.1661335,,
,106,83915950,,,0,,,,-73.1149877,41.1999447,,
,107,83915952,traffic_signals,,1,,,,-73.113425,41.2006272,,
,108,83916624,traffic_signals,,1,,,,-73.5326803,41.053467,,
,109,83916631,traffic_signals,,1,,,,-73.5312355,41.0551636,,18
,110,83916635,traffic_signals,,1,,,,-73.5296809,41.0553757,,
,111,83916673,traffic_signals,,1,,,,-73.5113333,41.0588808,,
,112,83916686,,,0,,,,-73.5071519,41.0609184,,
,113,83916860,traffic_signals,,1,,,,-73.1166049,41.2006215,,
,114,83917048,traffic_signals,,1,,,,-73.5445005,41.1226505,,
,115,83917051,,,0,,,,-73.5445313,41.1237507,,
,116,83919871,traffic_signals,,1,,,,-73.4691703,41.0781946,,
,117,83919918,,,0,,,,-73.4857381,41.1147528,,
,118,83921707,traffic_signals,,1,,,,-73.4700595,41.0773918,,
,119,83921709,traffic_signals,,1,,,,-73.470469,41.0769259,,
,120,83921717,traffic_signals,,1,,,,-73.4744894,41.0730102,,
,121,83924300,,,0,,,,-73.4136465,41.1216043,,
,122,83924310,,,0,,,,-73.4177512,41.1183909,,
,123,83931629,,,0,,,,-73.493329,41.1549561,,
,124,83931843,traffic_signals,,1,,,,-73.5629482,41.048852,,
,125,83932006,traffic_signals,,1,,,,-73.59083,41.0421521,,
,126,83932276,traffic_signals,,1,,,,-73.4688999,41.3468051,,
,127,83932280,,,0,,,,-73.4725705,41.3327011,,
,128,83932471,traffic_signals,,1,,,,-73.5429218,41.046885,,37
,129,83933539,,,0,,,,-73.2343369,41.1658491,,
,130,83933576,,,0,,,,-73.2355864,41.1649241,,
,131,83933584,,,0,,,,-73.2351391,41.1645385,,
,132,83934996,,,0,,,,-73.2889228,41.1387467,,
,133,83934998,,,0,,,,-73.2883572,41.1390945,,
,134,83935000,,,0,,,,-73.2878959,41.1394345,,
,135,83935309,,,0,,,,-73.420904,41.1179988,,
,136,83935318,,,0,,,,-73.4295978,41.1262854,,
,137,83936709,,,0,,,,-73.4989589,41.2865572,,
,138,83938015,traffic_signals,,1,,,,-73.4197189,41.1117611,,
,139,83938634,,,0,,,,-73.4068477,41.1213388,,
,140,83938651,,,0,,,,-73.3810866,41.1286334,,
,141,83940422,traffic_signals,,1,,,,-73.4187827,41.1636107,,
,142,83940754,,,0,,,,-73.6548826,41.0125417,,
,143,83940755,,,0,,,,-73.6545815,41.0127693,,
,144,83940829,,,0,,,,-73.6554119,41.0127492,,
,145,83943223,traffic_signals,,1,,,,-73.543384,41.0586175,,
,146,83943947,traffic_signals,,1,,,,-73.5148859,41.0639509,,
,147,83943962,traffic_signals,,1,,,,-73.5164737,41.0711823,,
,148,83943971,traffic_signals,,1,,,,-73.5183715,41.0729988,,
,149,83944178,,,0,,,,-73.4207653,41.1173467,,
,150,83946492,traffic_signals,,1,,,,-73.2561657,41.1416826,,
,151,83946681,,,0,,,,-73.5256833,41.2647136,,
,152,83947566,,,0,,,,-73.5156472,41.0753532,,
,153,83949765,traffic_signals,,1,,,,-73.1839791,41.2007005,,46
,154,83950040,,,0,,,,-73.4237188,41.1317615,,
,155,83950057,traffic_signals,,1,,,,-73.423753,41.1554165,,
,156,83950065,,,0,,,,-73.4190001,41.1623948,,
,157,83951401,,,0,,,,-73.4219142,41.1268743,,
,158,83951435,traffic_signals,,1,,,,-73.4532083,41.1332143,,
,159,83951437,traffic_signals,,1,,,,-73.4544852,41.1334136,,
,160,83951441,,,0,,,,-73.4599181,41.1343376,,
,161,83951666,,,0,,,,-73.1925566,41.2007653,,
,162,83953554,traffic_signals,,1,,,,-73.4261366,41.1061772,,
,163,83953881,traffic_signals,,1,,,,-73.5337958,41.0553326,,
,164,83954689,,,0,,,,-73.2365251,41.1654143,,
,165,83954712,traffic_signals,,1,,,,-73.4194384,41.1841234,,
,166,83957048,traffic_signals,,1,,,,-73.3622258,41.1411471,,
,167,83957050,traffic_signals,,1,,,,-73.3614542,41.1413261,,
,168,83957069,,,0,,,,-73.3416738,41.1376062,,
,169,83957075,,,0,,,,-73.3356329,41.1380483,,
,170,83957112,,,0,,,,-73.2979523,41.1382561,,
,171,83958551,traffic_signals,,1,,,,-73.4359143,41.1025257,,
,172,83958575,,,0,,,,-73.3640012,41.1407733,,
,173,83959362,traffic_signals,,1,,,,-73.5579035,41.0483923,,
,174,83959369,,,0,,,,-73.5655301,41.0484822,,
,175,83960084,traffic_signals,,1,,,,-73.5831363,41.041018,,
,176,83963606,,,0,,,,-73.4950028,41.2688595,,
,177,83963683,,,0,,,,-73.4849015,41.2451081,,
,178,83963839,,,0,,,,-73.5119245,41.0775842,,
,179,83963873,,,0,,,,-73.5005254,41.1146007,,
,180,83964900,,,0,,,,-73.4933451,41.1468876,,
,181,83964904,traffic_signals,,1,,,,-73.4930594,41.145898,,
,182,83964911,,,0,,,,-73.4907335,41.1395914,,
,183,83964933,,,0,,,,-73.4837255,41.1174434,,
,184,83966186,traffic_signals,,1,,,,-73.4827745,41.1487913,,
,185,83966189,,,0,,,,-73.4821683,41.1483853,,
,186,83966816,traffic_signals,,1,,,,-73.5390506,41.0552575,,
,187,83966823,traffic_signals,,1,,,,-73.536145,41.0551617,,
,188,83972236,traffic_signals,,1,,,,-73.450864,41.093896,,
,189,83975784,,,0,,,,-73.2443261,41.1539443,,
,190,83976383,traffic_signals,,1,,,,-73.5661923,41.0483457,,
,191,83979522,,,0,,,,-73.4922172,41.14703,,
,192,83984432,,,0,,,,-73.1476011,41.1927253,,
,193,83984914,,,0,,,,-73.543015,41.0450068,,
,194,83989035,traffic_signals,,1,,,,-73.2630673,41.1412637,,
,195,83992298,,,0,,,,-73.5428163,41.0441547,,
,196,83992901,traffic_signals,,1,,,,-73.5644781,41.097794,,
,197,83992907,traffic_signals,,1,,,,-73.5650514,41.1014065,,1
,198,83993528,traffic_signals,,1,,,,-73.4256174,41.1554892,,
,199,83995981,traffic_signals,,1,,,,-73.6067112,41.0366555,,
,200,83996726,traffic_signals,,1,,,,-73.5422377,41.051045,,34
,201,83996730,traffic_signals,,1,,,,-73.539532,41.0508744,,
,202,83997352,traffic_signals,,1,,,,-73.423426,41.107073,,
,203,83997888,traffic_signals,,1,,,,-73.5748303,41.042889,,
,204,83999872,traffic_signals,,1,,,,-73.4759835,41.3215909,,
,205,83999969,,,0,,,,-73.4344613,41.2550445,,
,206,83999999,traffic_signals,,1,,,,-73.4306572,41.1958284,,
,207,84001507,,,0,,,,-73.494066,41.137496,,
,208,84004494,,,0,,,,-73.5425422,41.0420452,,
,209,84009525,,,0,,,,-73.5585609,41.1550812,,
,210,84009774,,,0,,,,-73.5416464,41.0399285,,
,211,84010419,traffic_signals,,1,,,,-73.5429891,41.0484877,,
,212,84010423,traffic_signals,,1,,,,-73.5424025,41.0529248,,
,213,84010429,traffic_signals,,1,,,,-73.5436575,41.0602703,,
,214,84010436,,,0,,,,-73.5440627,41.0623147,,
,215,84010438,,,0,,,,-73.544305,41.0629239,,
,216,84014421,traffic_signals,,1,,,,-73.2066521,41.1831134,,
,217,84014676,motorway_junction,,0,,,,-73.4187634,41.1138186,,
,218,84016122,traffic_signals,,1,,,,-73.4918739,41.1461252,,
,219,84016145,traffic_signals,,1,,,,-73.4904858,41.1476905,,
,220,84018442,traffic_signals,,1,,,,-73.4983553,41.2803388,,
,221,84019166,traffic_signals,,1,,,,-73.195665,41.1934783,,
,222,84020399,traffic_signals,,1,,,,-73.4924613,41.1476743,,
,223,84020404,,,0,,,,-73.4830883,41.1480975,,
,224,84020473,,,0,,,,-73.1879148,41.2025269,,
,225,84020484,,,0,,,,-73.1675163,41.1934288,,
,226,84032833,,,0,,,,-73.545968,41.133296,,
,227,84037301,,,0,,,,-73.4971867,41.2726843,,
,228,84037305,,,0,,,,-73.4974631,41.2722868,,
,229,84038318,,,0,,,,-73.4972708,41.2733681,,
,230,84038320,,,0,,,,-73.4969506,41.2721334,,
,231,84038452,,,0,,,,-73.1316841,41.1990566,,
,232,84040169,,,0,,,,-73.2337349,41.1653288,,
,233,84045756,traffic_signals,,1,,,,-73.1150838,41.2006248,,
,234,84045758,,,0,,,,-73.1255646,41.1986651,,
,235,84056704,,,0,,,,-73.580206,41.0415211,,
,236,84060726,,,0,,,,-73.2866624,41.1392069,,
,237,94403910,,,0,,,,-73.4734567,41.3635693,,
,238,178175578,traffic_signals,,1,,,,-72.132044,41.3701104,,25
,239,178176728,traffic_signals,,1,,,,-72.1345954,41.371206,,21
,240,178176812,,,0,,,,-72.1057359,41.3649995,,
,241,178176826,,,0,,,,-72.1050559,41.370027,,
,242,178177932,traffic_signals,,1,,,,-71.9698729,41.5929648,,
,243,178177950,traffic_signals,,1,,,,-71.9720908,41.5935845,,
,244,178177975,,,0,,,,-71.9909488,41.5900542,,
,245,178180174,motorway_junction,,0,,,,-72.1035598,41.3665615,,
,246,178180188,,,0,,,,-72.1028983,41.3689466,,
,247,178181513,,,0,,,,-72.360125,41.5813676,,
,248,178181516,,,0,,,,-72.357557,41.5824558,,
,249,178182126,traffic_signals,,1,,,,-72.1671822,41.3960684,,
,250,178182525,,,0,,,,-72.2771225,41.4659708,,
,251,178183210,,,0,,,,-72.3262851,41.5648304,,
,252,178183211,,,0,,,,-72.3206924,41.5634028,,
,253,178183286,,,0,,,,-72.1154377,41.3689361,,
,254,178183290,traffic_signals,,1,,,,-72.1149662,41.3697481,,
,255,178185602,,,0,,,,-71.9910943,41.5881089,,
,256,178185823,,,0,,,,-72.2044392,41.3678918,,
,257,178186123,,,0,,,,-72.3276397,41.3233662,,
,258,178186133,,,0,,,,-72.323315,41.3227512,,
,259,178186142,,,0,,,,-72.1991255,41.3703093,,
,260,178187300,,,0,,,,-71.8930968,41.4208691,,
,261,178187541,,,0,,,,-72.3231095,41.5578507,,
,262,178187552,motorway_junction,,0,,,,-72.325547,41.5612662,,
,263,178187592,,,0,,,,-72.3176366,41.5632857,,
,264,178187596,,,0,,,,-72.311857,41.5648304,,
,265,178187847,,,0,,,,-72.2991702,41.5692527,,
,266,178187855,motorway_junction,,0,,,,-72.3013904,41.570734,,
,267,178188524,,,0,,,,-72.2945464,41.5751333,,
,268,178189040,,,0,,,,-71.8562962,41.4120878,,
,269,178189042,,,0,,,,-71.8557997,41.4124056,,
,270,178189067,traffic_signals,,1,,,,-71.8549519,41.4104025,,
,271,178189362,,,0,,,,-72.1086454,41.3653989,,
,272,178189366,stop,,0,,,,-72.1099013,41.3648095,,
,273,178189515,,,0,,,,-72.1172097,41.5095096,,
,274,178189516,,,0,,,,-72.1152311,41.5073858,,
,275,178189517,motorway_junction,,0,,,,-72.0932241,41.4813023,,
,276,178189519,traffic_signals,,1,,,,-72.0992626,41.4834,,
,277,178190538,,,0,,,,-72.1309267,41.5634024,,
,278,178191178,traffic_signals,,1,,,,-72.1164332,41.3678554,,10
,279,178191650,traffic_signals,,1,,,,-72.099057,41.4814889,,
,280,178192129,,,0,,,,-72.1079163,41.3663989,,
,281,178192146,,,0,,,,-72.1025846,41.3627998,,
,282,178192613,,,0,,,,-72.1654963,41.3952522,,
,283,178192880,traffic_signals,,1,,,,-72.3273007,41.3240206,,
,284,178193184,traffic_signals,,1,,,,-72.1050262,41.5529207,,
,285,178194610,,,0,,,,-72.3402312,41.3212039,,
,286,178194622,traffic_signals,,1,,,,-72.3397556,41.3213494,,
,287,178194906,,,0,,,,-72.1441804,41.5658692,,
,288,178194950,,,0,,,,-72.1427969,41.5649832,,
,289,178195724,,,0,,,,-72.0660235,41.36121,,
,290,178195734,,,0,,,,-72.3211779,41.5595002,,
,291,178196164,motorway_junction,,0,,,,-72.1188961,41.5137825,,
,292,178197813,traffic_signals,,1,,,,-72.1082144,41.3672822,,
,293,178197823,,,0,,,,-72.1118845,41.3676898,,
,294,178197829,,,0,,,,-72.1011781,41.362388,,
,295,178197833,,,0,,,,-72.1007834,41.3619114,,
,296,178197931,traffic_signals,,1,,,,-71.8446511,41.4211204,,
,297,178197965,,,0,,,,-71.844607,41.4189674,,
,298,178198466,,,0,,,,-72.1166455,41.5100392,,
,299,178200136,,,0,,,,-72.2952721,41.5712594,,
,300,178200919,,,0,,,,-72.0662383,41.485842,,
,301,178203410,traffic_signals,,1,,,,-72.0692107,41.3669581,,
,302,178203414,motorway_junction,,0,,,,-72.0653304,41.3676881,,
,303,178203427,,,0,,,,-72.3152275,41.5620444,,
,304,178203770,traffic_signals,,1,,,,-72.1142133,41.5108955,,
,305,178204159,motorway_junction,,0,,,,-72.1089926,41.3667205,,
,306,178204227,,,0,,,,-71.8629375,41.5738621,,
,307,178204231,,,0,,,,-71.8625175,41.5742257,,
,308,178204234,,,0,,,,-71.861863,41.5747671,,
,309,178204951,,,0,,,,-72.0519023,41.5174343,,
,310,178204956,traffic_signals,,1,,,,-71.9555059,41.3478068,,
,311,178205018,traffic_signals,,1,,,,-71.9130002,41.349049,,
,312,178205043,,,0,,,,-71.8912814,41.3512624,,
,313,178205066,traffic_signals,,1,,,,-71.8768177,41.3609974,,
,314,178206457,,,0,,,,-71.9691574,41.3547643,,
,315,178206465,,,0,,,,-71.9749772,41.352854,,
,316,178206480,traffic_signals,,1,,,,-72.0828084,41.5235139,,
,317,178206486,traffic_signals,,1,,,,-72.0850237,41.5234414,,
,318,178206491,traffic_signals,,1,,,,-72.0895852,41.5226516,,
,319,178206503,traffic_signals,,1,,,,-72.0990697,41.5167888,,
,320,178206511,traffic_signals,,1,,,,-72.104504,41.5146402,,
,321,178207373,,,0,,,,-72.1026238,41.3715586,,
,322,178207881,traffic_signals,,1,,,,-72.0756853,41.5231417,,
,323,178208264,traffic_signals,,1,,,,-72.1298926,41.5670682,,
,324,178209037,,,0,,,,-72.0520256,41.5515126,,
,325,178209287,stop,,0,,,,-72.3994373,41.4224107,,
,326,178209637,stop,,0,,,,-72.3231017,41.5660395,,
,327,178210252,,,0,,,,-72.361467,41.430307,,
,328,178210351,,,0,,,,-72.2017033,41.5762536,,
,329,178211016,traffic_signals,,1,,,,-72.1243063,41.3420841,,
,330,178211381,,,0,,,,-72.1818895,41.6128751,,
,331,178211737,traffic_signals,,1,,,,-71.9764994,41.5951673,,
,332,178212603,traffic_signals,,1,,,,-72.1000223,41.4946633,,
,333,178213194,,,0,,,,-72.3391493,41.3531369,,
,334,178213348,traffic_signals,,1,,,,-72.3401837,41.3221072,,
,335,178213350,,,0,,,,-72.3399582,41.3217117,,
,336,178213858,traffic_signals,,1,,,,-72.0320248,41.4989518,,
,337,178213907,traffic_signals,,1,,,,-71.9840493,41.4881084,,
,338,178213944,traffic_signals,,1,,,,-71.9699402,41.4847893,,
,339,178213994,traffic_signals,,1,,,,-71.956449,41.475447,,50
,340,178214062,traffic_signals,,1,,,,-71.9089673,41.4638911,,
,341,178214091,traffic_signals,,1,,,,-71.9048802,41.4532922,,
,342,178214132,,,0,,,,-71.8608415,41.4254342,,
,343,178214170,,,0,,,,-71.8598216,41.4234484,,
,344,178214993,traffic_signals,,1,,,,-72.0348688,41.4876805,,
,345,178215088,traffic_signals,,1,,,,-72.1365649,41.3452827,,
,346,178215423,traffic_signals,,1,,,,-72.0641532,41.5229045,,
,347,178217183,traffic_signals,,1,,,,-72.0821924,41.428203,,
,348,178217945,traffic_signals,,1,,,,-72.0339215,41.3457912,,
,349,178217949,traffic_signals,,1,,,,-72.0287308,41.346242,,
,350,178217957,traffic_signals,,1,,,,-72.0241626,41.3467617,,
,351,178218599,,,0,,,,-72.0628212,41.3587248,,
,352,178219906,motorway_junction,,0,,,,-72.1987538,41.3723209,,
,353,178220040,,,0,,,,-72.1330336,41.3705204,,
,354,178220573,,,0,,,,-72.1101301,41.4180526,,
,355,178220583,,,0,,,,-72.1102117,41.4264685,,
,356,178220589,,,0,,,,-72.2183488,41.5004642,,
,357,178220602,,,0,,,,-72.2639672,41.4771981,,
,358,178220843,traffic_signals,,1,,,,-72.1259153,41.3421907,,
,359,178221707,traffic_signals,,1,,,,-72.083991,41.5375966,,
,360,178222301,stop,,0,,,,-72.0995709,41.3543374,,
,361,178223261,traffic_signals,,1,,,,-72.3367669,41.3237355,,
,362,178223903,traffic_signals,,1,,,,-71.9840346,41.6046444,,
,363,178223912,traffic_signals,,1,,,,-72.0862673,41.5425471,,
,364,178223941,,,0,,,,-71.8617538,41.4238882,,
,365,178223946,,,0,,,,-71.8589518,41.4250247,,
,366,178223970,traffic_signals,,1,,,,-71.8482316,41.4317247,,
,367,178226458,traffic_signals,,1,,,,-72.108901,41.3475919,,
,368,178226475,traffic_signals,,1,,,,-72.1158804,41.3574188,,
,369,178226479,traffic_signals,,1,,,,-72.1162495,41.3638249,,
,370,178228056,,,0,,,,-72.1314281,41.369809,,
,371,178228204,,,0,,,,-72.0497398,41.5566144,,
,372,178228211,,,0,,,,-72.0457519,41.558138,,
,373,178228884,traffic_signals,,1,,,,-72.0993684,41.479698,,
,374,178229014,stop,,0,,,,-71.9041663,41.3399976,,
,375,178229022,,,0,,,,-71.8980256,41.3429497,,
,376,178229659,traffic_signals,,1,,,,-72.3364396,41.5783418,,
,377,178229928,traffic_signals,,1,,,,-72.1259918,41.3676554,,
,378,178229930,,,0,,,,-72.1279081,41.3683938,,
,379,178230530,,,0,,,,-71.8545835,41.5762616,,
,380,178230566,,,0,,,,-71.8552667,41.5839568,,
,381,178231525,,,0,,,,-72.0656005,41.4865916,,
,382,178231558,traffic_signals,,1,,,,-72.0667372,41.4866987,,
,383,178231909,,,0,,,,-72.3084944,41.4540341,,
,384,178231924,,,0,,,,-72.292273,41.4618304,,
,385,178232019,traffic_signals,,1,,,,-72.1030804,41.3637133,,
,386,178232029,,,0,,,,-72.1127856,41.3673535,,
,387,178232032,,,0,,,,-72.1140737,41.3677949,,
,388,178233334,,,0,,,,-72.09572,41.5491878,,
,389,178233349,traffic_signals,,1,,,,-72.1072078,41.5547792,,
,390,178234778,,,0,,,,-72.33888,41.5793492,,
,391,178235513,traffic_signals,,1,,,,-72.0711007,41.3698592,,
,392,178236581,traffic_signals,,1,,,,-71.8452837,41.3940897,,
,393,178236606,traffic_signals,,1,,,,-71.8478205,41.4025635,,
,394,178236623,,,0,,,,-71.833603,41.3772815,,
,395,178236671,traffic_signals,,1,,,,-72.0938767,41.3541052,,
,396,178236677,traffic_signals,,1,,,,-72.0971227,41.3514917,,
,397,178236682,traffic_signals,,1,,,,-72.1048945,41.3493886,,
,398,178236685,traffic_signals,,1,,,,-72.1057941,41.3491789,,
,399,178236706,,,0,,,,-72.113585,41.343477,,
,400,178237996,,,0,,,,-72.2312516,41.4449103,,
,401,178238058,,,0,,,,-72.0114998,41.3456257,,
,402,178238074,traffic_signals,,1,,,,-71.9982796,41.351909,,
,403,178238095,traffic_signals,,1,,,,-71.9775162,41.3529248,,
,404,178238118,stop,,0,,,,-72.3186789,41.5606065,,
,405,178238172,,,0,,,,-72.2957482,41.5227635,,
,406,178238698,,,0,,,,-71.9638412,41.3513812,,
,407,178238700,traffic_signals,,1,,,,-71.9608386,41.3508784,,
,408,178239238,,,0,,,,-71.8338474,41.5734381,,
,409,178239272,,,0,,,,-71.790432,41.5719992,,
,410,178239985,,,0,,,,-72.0798639,41.5243362,,
,411,178239987,traffic_signals,,1,,,,-72.0800947,41.5246622,,
,412,178241729,,,0,,,,-72.0966237,41.3528505,,
,413,178241732,traffic_signals,,1,,,,-72.0978083,41.3520437,,
,414,178241886,traffic_signals,,1,,,,-72.1086323,41.4139764,,
,415,178241915,motorway_junction,,0,,,,-72.1231644,41.4308437,,
,416,178242250,,,0,,,,-72.1892159,41.4151411,,
,417,178243348,stop,,0,,,,-72.0989858,41.3528376,,
,418,178243349,traffic_signals,,1,,,,-72.0995691,41.3557857,,
,419,178243398,,,0,,,,-72.3324394,41.575897,,
,420,178243746,,,0,,,,-72.1126862,41.3679691,,
,421,178244144,traffic_signals,,1,,,,-71.9889031,41.6004554,,
,422,178246213,traffic_signals,,1,,,,-72.0764565,41.523728,,
,423,178246217,,,0,,,,-72.0757615,41.5232134,,
,424,178246259,,,0,,,,-72.0934711,41.3540631,,
,425,178246265,traffic_signals,,1,,,,-72.0949441,41.3569013,,
,426,178247247,,,0,,,,-71.8447837,41.408846,,
,427,178247734,traffic_signals,,1,,,,-72.0951395,41.354419,,
,428,178247736,traffic_signals,,1,,,,-72.0950961,41.3553148,,
,429,178247738,traffic_signals,,1,,,,-72.0960411,41.3566136,,
,430,178247742,traffic_signals,,1,,,,-72.0983445,41.3599266,,
,431,178248564,traffic_signals,,1,,,,-72.0754492,41.5091942,,
,432,178249178,,,0,,,,-72.0796956,41.5239835,,
,433,178249219,,,0,,,,-72.3058564,41.573846,,
,434,178251297,,,0,,,,-72.1519462,41.3805078,,
,435,178251307,traffic_signals,,1,,,,-72.1410388,41.3748869,,
,436,178251586,traffic_signals,,1,,,,-72.1648484,41.3542939,,
,437,178251626,traffic_signals,,1,,,,-72.2096303,41.3662083,,
,438,178252539,,,0,,,,-72.0447404,41.5580433,,
,439,178252648,,,0,,,,-71.9909709,41.5885669,,
,440,178252857,,,0,,,,-71.9870579,41.6021742,,
,441,178254144,traffic_signals,,1,,,,-72.0996339,41.4777013,,
,442,178254734,,,0,,,,-72.1582471,41.6562299,,
